Soru,Cevap
"Karadeniz bölgesinde yaşıyorum, nasıl beslenmeliyim?",Karadeniz mutfağı sebze ve lif açısından zengindir. Mısır ekmeği ve pancar çorbası gibi besinleri porsiyon kontrolüyle tüketebilirsin.
"Doğu Anadolu’da yaşıyorum, hava soğuk ve sürekli etli yemekler yiyoruz. Ne yapmalıyım?",Soğuk iklimlerde enerji ihtiyacı artsa da etli yemeklerde yağ miktarına dikkat et. Bol sebze ve su ile dengeleyebilirsin.
Ege bölgesinde yaşayan biri olarak zeytinyağlıları çok tüketiyorum. Bu kilo vermemi etkiler mi?,Zeytinyağlılar sağlıklıdır fakat miktar önemli. Kilo vermek istiyorsan porsiyonlarına dikkat etmelisin.
Masa başında çalışıyorum ve hiç hareket etmiyorum. Ne önerirsin?,Her 45 dakikada bir 5 dakika kalkıp yürü. Günlük 20 dakika esneme ve yürüyüş öneriyorum.
"Boyun düzleşmem var, günde kaç egzersiz yapmalıyım?",Boyun düzleşmesi için sabah ve akşam 5 dakikalık egzersizler yapmalısın. Çene itme ve omuz döndürme hareketleri uygundur.
"Her gün ekmek yiyorum, kilo veremiyorum. Ne yapmalıyım?",Ekmek miktarını azalt ve tam buğday tercih et. Ekmek yerine sebze ve baklagil tüketimini artır.
"Günde 5 bardaktan fazla çay içiyorum, bu zararlı mı?","Çay kafein içerir, fazla tüketimi vücutta su kaybına neden olabilir. Yanında mutlaka su içmelisin."
Karadeniz mutfağındaki mısır ekmeği ve lahana yemekleri kilo yapar mı?,Mısır ekmeği ve lahana yemekleri sağlıklıdır ancak yağ ve porsiyon kontrolü önemlidir. Dengeli tükettiğinde sorun olmaz.
Günde sadece 1 litre su içiyorum. Bu yeterli mi?,1 litre su genellikle yetersizdir. Kilonun 30 katı kadar mililitre içmelisin. Örneğin 70 kg kişi için 2.1 litre.
"Güneydoğu’da yaşıyorum, sürekli etli kebap ve pilav tüketiyoruz. Kilo vermek istiyorum.",Kebap ve pilavı azaltıp sebze yemeklerini artır. Kilo vermek için yağlı yiyecekleri sınırlamalısın.
Kışın su içmeyi unutuyorum. Ne yapmalıyım?,Kışın susamayı beklemeden su içmelisin. Termosa su koyup görünür bir yere bırakmak iyi fikir olabilir.
"Annem her gün hamur işi yapıyor, nasıl kilo vereceğim?","Hamur işini sınırla, haftada 1–2 kez ile sınırlı tüket. Alternatif olarak tam tahıllı ekmek veya meyve tercih et."
"Ben Giresun’da yaşıyorum. Fındık çok tüketiyoruz, bu faydalı mı?",Fındık sağlıklı bir yağ kaynağıdır ama kalorilidir. Günlük 10-15 fındık yeterlidir.
"Evde sürekli sütlaç ve muhallebi var, alternatif tatlı önerir misin?","Meyveyle tatlandırılmış yoğurt, chia pudingi gibi hafif tatlıları deneyebilirsin."
"Günde 9 saat oturuyorum, hareketsizim. Egzersiz önerir misin?",Günde 30 dakika tempolu yürüyüş ve 10 dakika esneme hareketiyle başlayabilirsin.
